couponId,couponname,couponsecuritycode,couponamount,couponcurrency,couponpercent,couponstartdate,couponenddate,couponlimit,couponcategories,couponproducts,couponusedcount,couponlastuseddate,couponcomment,couponother
106548,0020130GGW,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106547,0020111GSQ,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106546,0020110V44,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106545,0020109R54,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106544,00200940Y1,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106543,00200895D7,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106542,002008672R,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106541,00200436FI,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106540,0020026RKA,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
106530,0010133WXZ,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104930,"0010026XFS			",,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104929,00102046R6,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104928,"0010198VO9			",,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104927,0010143GEK,3826B28A74,128,SGD,0,6/15/2014,1/15/2015,1,,,1,8/28/2014,Actual exp is 15 Dec 2014,
104868,0010194AKT,2D77975051,128,SGD,0,6/15/2014,1/15/2015,1,,,1,8/28/2014,Actual exp is 15 Dec 2014,
104867,001025070R,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104866,0010240IE5,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104865,0010229YX6,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104864,0010228DMV,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104863,00102254K7,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104862,0010224853,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104861,0010215LIW,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104860,0010213B2F,05C3CE96F1 ,128,SGD,0,6/15/2014,1/15/2015,1,,,1,8/27/2014,Actual exp is 15 Dec 2014,
104859,0010212FMO,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104858,0010201JR8,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104857,0010197JT9,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104856,0010196QJT,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104855,0010190B3F,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104854,0010189C0Y,7A954C0849,128,SGD,0,6/15/2014,1/15/2015,1,,,1,8/27/2014,Actual exp is 15 Dec 2014,
104853,0010186GM2,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104852,00101833CY,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104851,0010182SB3,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104850,0010180MQW,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104849,0010174V6H,3B8FDD3FEF,128,SGD,0,6/15/2014,1/15/2015,1,,,1,8/29/2014,Actual exp is 15 Dec 2014,
104848,0010163EUU,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104847,0010156XSY,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104846,00101536LZ,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104845,0010152I6K,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104844,00101466NO,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104843,0010144FOV,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104842,00101425HN,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104841,0010141W1S,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104840,0010137MDA,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104839,00101361ER,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104838,0010128L78,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104837,0010127YI1,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104836,0010124D5O,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104835,00101212NK,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104834,0010117CFM,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104833,0010112GV5,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104832,0010104HFS,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104831,0010093WSH,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104830,001009278Y,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104829,001008432F,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
